Date,Symbol,Price,Open,High,Low,Vol.,Change %,Sector,Name,Industry
"Nov 25, 2021",2222,32.36,32.77,33.00,32.36,4.23M,-1.11%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Nov 24, 2021",2222,32.73,32.95,32.95,32.73,2.97M,0.56%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Nov 23, 2021",2222,32.55,32.14,33.00,31.95,6.49M,0.99%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Nov 22, 2021",2222,32.23,32.73,32.86,32.00,6.34M,-1.80%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Nov 21, 2021",2222,32.82,33.27,33.27,32.73,5.14M,-1.90%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Nov 18, 2021",2222,33.45,33.64,33.64,33.27,4.10M,-0.67%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Nov 17, 2021",2222,33.68,33.64,33.73,33.59,2.67M,-0.27%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Nov 16, 2021",2222,33.77,33.82,33.91,33.64,4.04M,-0.27%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Nov 15, 2021",2222,33.86,33.95,34.05,33.86,2.82M,-0.53%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Nov 14, 2021",2222,34.05,34.09,34.14,34.00,1.80M,-0.27%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Nov 11, 2021",2222,34.14,33.95,34.14,33.91,2.57M,0.40%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Nov 10, 2021",2222,34.00,33.91,34.14,33.77,3.04M,0.27%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Nov 09, 2021",2222,33.91,34.09,34.09,33.86,3.83M,-0.53%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Nov 08, 2021",2222,34.09,34.14,34.23,34.05,5.70M,-0.27%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
